		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.914062	M = 1500	N = 8	m = 9	n = 12000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    6    2    4    2    4    4    6  8.858290 0.354391 SUCCESS   0
000000011    1    6    0    1    4    3    3    6 12.730871 0.121451 SUCCESS   1
000000101    6    4    1    4    2    5    4    4  8.152178 0.418748 SUCCESS   2
000000111    2    4    3    5    4    3    3    4  3.088032 0.928712 SUCCESS   3
000001001    2    8    3    1    4    3    3    1 12.438497 0.132685 SUCCESS   4
000001011    4    7    4    4    4    1    3    1 10.149150 0.254713 SUCCESS   5
000001101    0    5    2    1    5    3    2    5  9.492687 0.302451 SUCCESS   6
000001111    4    3    4    1    3    4    4    9 16.040770 0.041800 SUCCESS   7
000010001    5    2    2    6    3    2    2    2  6.375865 0.605207 SUCCESS   8
000010011    1    4    4    0    6    4    3    1 10.198799 0.251349 SUCCESS   9
000010101    0    3    2    1    1    5    2    5  9.249961 0.321650 SUCCESS  10
000010111    1    4    5    6    2    1    3    0 11.197285 0.190769 SUCCESS  11
000011001    1    1    2    6    6    3    3    3  9.614050 0.293166 SUCCESS  12
000011011    3    4    2    2    4    1    3    2  3.016318 0.933329 SUCCESS  13
000011101    3    3    2    5    5    2    4    3  4.086519 0.849234 SUCCESS  14
000011111    4    2    6    1    3    3    3    4  5.791116 0.670617 SUCCESS  15
000100011    6    2    0    2    3    3    2    3  7.252989 0.509599 SUCCESS  16
000100101    6    8    4    1    2    2    6    3 18.159106 0.020065 SUCCESS  17
000100111    1    3    2    0    6    3    3    1  9.249961 0.321650 SUCCESS  18
000101001    3    2    2    3    3    3    5    4  2.552932 0.959217 SUCCESS  19
000101011    0    5    2    3    3    3    3    5  6.375865 0.605207 SUCCESS  20
000101101    4    2    2    5    4    5    0    4  7.909452 0.442365 SUCCESS  21
000101111    5    5    3    4    2    3    3    3  3.794144 0.875202 SUCCESS  22
000110011    3    1    3    1    6    3    2    3  6.254502 0.618747 SUCCESS  23
000110101    7    5    2    1    5    7    1    3 17.745368 0.023219 SUCCESS  24
000110111    3    3    3    2    3    4    3    4  1.140708 0.997194 SUCCESS  25
000111001    4    3    4    3    1    3    3    3  2.139195 0.976444 SUCCESS  26
000111011    4    3    2    4    3    4    3    3  1.554446 0.991766 SUCCESS  27
